status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,300000,4,3,0.49,"195 Ginger Ln, Torrington, CT, 06790",195 Ginger Ln,Torrington,Connecticut,6790,2128,1/2/2020
for_sale,369000,4,2,0.08,"58 Pleasant St, Concord, NH, 03301",58 Pleasant St,Concord,New Hampshire,3301,2705,1/2/2020
for_sale,320000,4,3,0.33,"135 York St, West Haven, CT, 06516",135 York St,West Haven,Connecticut,6516,2171,1/2/2020
for_sale,349900,2,2,,"970 Hope St Unit 2G, Stamford, CT, 06907",970 Hope St Unit 2G,Stamford,Connecticut,6907,1031,1/2/2020
for_sale,1888000,4,4,0.09,"27-01 Utopia Pkwy, Flushing, NY, 11358",27-01 Utopia Pkwy,Flushing,New York,11358,2900,1/2/2020
for_sale,259000,4,2,0.22,"96 Newport Dr, Waterbury, CT, 06705",96 Newport Dr,Waterbury,Connecticut,6705,1802,1/3/2020
for_sale,997095,4,4,0.52,"12 Ellen Dr, Port Jefferson, NY, 11777",12 Ellen Dr,Port Jefferson,New York,11777,3150,1/3/2020
for_sale,1150000,4,4,0.29,"29 Witch Ln, Norwalk, CT, 06853",29 Witch Ln,Norwalk,Connecticut,6853,2911,1/3/2020
for_sale,975000,5,4,0.11,"171 Congdon St, Providence, RI, 02906",171 Congdon St,Providence,Rhode Island,2906,4864,1/6/2020
for_sale,132500,2,2,,"23 Birch Ln Unit C, East Haven, CT, 06513",23 Birch Ln Unit C,East Haven,Connecticut,6513,1008,1/6/2020
for_sale,2800000,4,6,2.11,"49 Wilton Woods Rd, Wilton, CT, 06897",49 Wilton Woods Rd,Wilton,Connecticut,6897,6340,1/6/2020
for_sale,190000,3,2,0.73,"142 Bromley St, Norwich, CT, 06360",142 Bromley St,Norwich,Connecticut,6360,1158,1/7/2020
for_sale,149999,,1,,"3015 Riverdale Ave Apt 2G, Bronx, NY, 10463",3015 Riverdale Ave Apt 2G,Bronx,New York,10463,500,1/7/2020
for_sale,335000,3,1,0.11,"197 Summerhill Rd, Spotswood, NJ, 08884",197 Summerhill Rd,Spotswood,New Jersey,8884,1164,1/7/2020
for_sale,238500,3,2,1,"44 Haven Ln, Peru, NY, 12972",44 Haven Ln,Peru,New York,12972,2485,1/8/2020
for_sale,1395000,1,1,,"200 Chambers St Apt 7E, New York City, NY, 10007",200 Chambers St Apt 7E,New York City,New York,10007,750,1/8/2020
for_sale,114900,2,1,,"54 Front St Unit 54, New Haven, CT, 06513",54 Front St Unit 54,New Haven,Connecticut,6513,1092,1/9/2020
for_sale,510000,5,3,0.35,"43 Felway Dr, Coram, NY, 11727",43 Felway Dr,Coram,New York,11727,2300,1/9/2020
for_sale,850000,2,2,,"9511 Shore Rd Apt 302, Brooklyn, NY, 11209",9511 Shore Rd Apt 302,Brooklyn,New York,11209,1080,1/9/2020
for_sale,465000,3,3,0.28,"113 Rivercrest Dr, Piscataway, NJ, 08854",113 Rivercrest Dr,Piscataway,New Jersey,8854,1464,1/9/2020
for_sale,549000,3,2,0.25,"663 Route 217, Claverack, NY, 12534",663 Route 217,Claverack,New York,12534,1890,1/10/2020
for_sale,285000,2,2,,"800 Bearses Way Apt 4EE, Hyannis, MA, 02601",800 Bearses Way Apt 4EE,Hyannis,Massachusetts,2601,840,1/10/2020
for_sale,249900,3,3,,"2390 State St Unit L18D, Hamden, CT, 06517",2390 State St Unit L18D,Hamden,Connecticut,6517,1263,1/10/2020
for_sale,279900,2,1,1.4,"11 Brook St, Waterford, CT, 06385",11 Brook St,Waterford,Connecticut,6385,960,1/10/2020
for_sale,749999,4,4,0.08,"670 Clarkson Ave, Elizabeth City, NJ, 07202",670 Clarkson Ave,Elizabeth City,New Jersey,7202,2880,1/10/2020
for_sale,450000,2,2,,"3014 Edward Stec Blvd, Edison, NJ, 08837",3014 Edward Stec Blvd,Edison,New Jersey,8837,1550,1/10/2020
for_sale,450000,4,3,1.62,"30 Old Mill Dr, Canton, CT, 06019",30 Old Mill Dr,Canton,Connecticut,6019,2893,1/13/2020
for_sale,415000,4,3,1.91,"727 Squaw Rock Rd, Plainfield, CT, 06354",727 Squaw Rock Rd,Plainfield,Connecticut,6354,2888,1/13/2020
for_sale,639000,2,2,,"3920 Mystic Valley Pkwy Apt 509, Medford, MA, 02155",3920 Mystic Valley Pkwy Apt 509,Medford,Massachusetts,2155,1206,1/14/2020
for_sale,250000,3,2,0.18,"33 Curry Rd, Hamden, CT, 06517",33 Curry Rd,Hamden,Connecticut,6517,1041,1/14/2020
for_sale,325000,12,2,0.09,"2168 Seaview Ave, Bridgeport, CT, 06610",2168 Seaview Ave,Bridgeport,Connecticut,6610,2226,1/14/2020
for_sale,975000,2,1,,"150 W 51st St Apt 1623, New York City, NY, 10019",150 W 51st St Apt 1623,New York City,New York,10019,850,1/14/2020
for_sale,465000,4,2,0.17,"213 4th St, Hazlet, NJ, 07734",213 4th St,Hazlet,New Jersey,7734,1845,1/14/2020
for_sale,1169000,3,3,4,"6 Vista Way, Ellsworth, ME, 04605",6 Vista Way,Ellsworth,Maine,4605,3516,1/15/2020
for_sale,469900,5,,0.19,"45 Cherry St, Waterbury, CT, 06702",45 Cherry St,Waterbury,Connecticut,6702,3642,1/15/2020
for_sale,499000,3,2,1.51,"260 Bennetts Farm Rd, Ridgefield, CT, 06877",260 Bennetts Farm Rd,Ridgefield,Connecticut,6877,1170,1/15/2020
for_sale,339900,3,3,0.28,"60 Harold Rd, Farmington, CT, 06032",60 Harold Rd,Farmington,Connecticut,6032,1132,1/16/2020
for_sale,329900,2,2,0.09,"340 Lake Ave N, Worcester, MA, 01604",340 Lake Ave N,Worcester,Massachusetts,1604,768,1/16/2020
for_sale,329000,5,3,0.38,"61 Flyers Dr, Norwich, CT, 06360",61 Flyers Dr,Norwich,Connecticut,6360,2281,1/16/2020
for_sale,409000,9,3,0.2,"249 Chatham St, New Haven, CT, 06513",249 Chatham St,New Haven,Connecticut,6513,3539,1/16/2020
for_sale,6695000,8,11,7.25,"76 Turtle Back Ln W, New Canaan, CT, 06840",76 Turtle Back Ln W,New Canaan,Connecticut,6840,11043,1/16/2020
for_sale,5999000,4,4,,"200 W End Ave Apt 15F, New York, NY, 10023",200 W End Ave Apt 15F,New York,New York,10023,2847,1/16/2020
for_sale,569000,4,2,0.18,"202 S 2nd Ave, Highland Park, NJ, 08904",202 S 2nd Ave,Highland Park,New Jersey,8904,2214,1/16/2020
for_sale,224000,2,1,,"104 Hartford Ave E Unit 2, Uxbridge, MA, 01569",104 Hartford Ave E Unit 2,Uxbridge,Massachusetts,1569,1215,1/17/2020
for_sale,159900,2,3,,"296 Hamilton Ave Apt 30, Norwich, CT, 06360",296 Hamilton Ave Apt 30,Norwich,Connecticut,6360,1304,1/17/2020
for_sale,1500000,2,2,,"230 Park Pl Apt 4A, New York City, NY, 11238",230 Park Pl Apt 4A,New York City,New York,11238,1300,1/17/2020
for_sale,950000,5,3,0.09,"1574 Drumgoole Rd E, Staten Island, NY, 10309",1574 Drumgoole Rd E,Staten Island,New York,10309,2124,1/17/2020
for_sale,2775000,2,3,,"20 Rowes Wharf Apt 309, Boston, MA, 02110",20 Rowes Wharf Apt 309,Boston,Massachusetts,2110,1973,1/21/2020
for_sale,1399900,3,4,0.07,"159 Water St, Newburyport, MA, 01950",159 Water St,Newburyport,Massachusetts,1950,2722,1/21/2020
for_sale,400000,2,2,,"35 Seaside Ave Apt 35, Stamford, CT, 06902",35 Seaside Ave Apt 35,Stamford,Connecticut,6902,1534,1/21/2020
for_sale,229900,3,1,0.09,"131 Second St, Hallowell, ME, 04347",131 Second St,Hallowell,Maine,4347,1071,1/22/2020
for_sale,768000,5,3,0.15,"12 Fairfax Rd, Edison, NJ, 08817",12 Fairfax Rd,Edison,New Jersey,8817,2500,1/22/2020
for_sale,299000,3,1,0.1,"108 Angell Ave, Cranston, RI, 02920",108 Angell Ave,Cranston,Rhode Island,2920,936,1/24/2020
for_sale,3500000,2,,0.09,"570 Broome St Apt 22A, New York City, NY, 10013",570 Broome St Apt 22A,New York City,New York,10013,1248,1/24/2020
for_sale,2250000,3,3,,"178 Harvard St Unit 178, Cambridge, MA, 02139",178 Harvard St Unit 178,Cambridge,Massachusetts,2139,2341,1/27/2020
for_sale,875000,4,3,2.76,"6 Meeting Rock Dr, Atkinson, NH, 03811",6 Meeting Rock Dr,Atkinson,New Hampshire,3811,4250,1/27/2020
for_sale,625000,4,3,1.5,"15 Martin Dr, Oxford, CT, 06478",15 Martin Dr,Oxford,Connecticut,6478,2917,1/27/2020
