ZCTA,density,classification
1001,631,2
1002,180,2
1005,43,3
1007,106,2
1008,9,3
1009,395,2
1010,41,3
1011,18,3
1012,22,3
1013,1703,2
1020,1048,2
1022,230,2
1026,18,3
1027,194,2
1028,450,2
1029,22,3
1030,375,2
1031,64,3
1032,20,3
1033,85,3
1034,11,3
1035,91,3
1036,97,2
1037,17,3
1038,112,2
1039,46,3
1040,722,2
1050,26,3
1053,117,2
1054,33,3
1056,297,2
1057,74,3
1060,621,2
1062,254,2
1068,33,3
1069,125,2
1070,13,3
1071,38,3
1072,30,3
1073,80,3
1074,1424,2
1075,384,2
1077,120,2
1079,248,2
1080,573,2
1081,47,3
1082,93,3
1083,73,3
1085,260,2
1088,64,3
1089,725,2
1092,79,3
1093,29,3
1094,142,2
1095,236,2
1096,29,3
1098,16,3
1103,3257,1
1104,1677,1
1105,4042,1
1106,633,2
1107,2569,1
1108,2609,1
1109,1792,1
1118,1588,2
1119,1403,2
1128,937,2
1129,845,2
1151,1423,1
1201,386,2
1220,161,2
1222,102,3
1223,14,3
1225,54,3
1226,106,2
1230,38,3
1235,26,3
1236,133,2
1237,17,3
1238,74,3
1240,98,3
1242,394,2
1243,8,3
1245,16,3
1247,130,2
1253,18,3
1254,30,3
1255,7,3
1256,8,3
1257,26,3
1258,7,3
1259,11,3
1260,42,3
1262,48,3
1266,26,3
1267,48,3
1270,10,3
1301,312,2
1330,20,3
1331,99,3
1337,29,3
1339,11,3
1340,16,3
1341,21,3
1342,27,3
1344,46,3
1346,11,3
1349,58,3
1351,47,3
1354,41,3
1355,8,3
1360,36,3
1364,82,3
1366,13,3
1367,8,3
1368,12,3
1370,36,3
1373,82,3
1375,116,2
1376,848,2
1378,10,3
1379,12,3
1420,501,2
1430,58,3
1431,47,3
1432,365,2
1434,21,3
1436,120,2
1438,375,2
1440,344,2
1450,115,2
1451,90,3
1452,38,3
1453,590,2
1460,200,2
1462,145,2
1463,186,2
1464,151,2
1468,70,3
1469,108,2
1473,77,2
1474,78,3
1475,89,3
1501,419,2
1503,87,2
1504,307,2
1505,106,2
1506,88,3
1507,109,2
1510,1031,2
1515,84,3
1516,82,3
1518,134,2
1519,224,2
1520,285,2
1521,81,3
1522,75,3
1523,90,3
1524,154,2
1525,247,2
1527,339,2
1529,223,2
1531,18,3
1532,277,2
1534,233,2
1535,88,3
1536,323,2
1537,143,2
1540,217,2
